function_name;query;parameters;generated_parameters_german-function-calling-model;generated_parameters_german-function-calling-model-0.5b;generated_parameters_german-function-calling-model-3-epochs;generated_parameters_german-function-calling-orpo-0.5b-model;generated_parameters_german-function-calling-orpo-model
create_calendar_entry;Erstelle einen neuen Kalendertermin für ein Weihnachtsessen bei meinen Eltern am 24.12.2024 um 18 Uhr für 3 Stunden;"<oc_1>(""Weihnachtsessen bei meinen Eltern"", ""2024-12-24"", ""18:00"", 180)<oc_end>";"<oc_1>(""Weihnachtssuch"", ""2025-12-24"", ""18:00"", 18)<oc_end>";"<oc_1>(""Weihn ccapt"", ""2025-12-24"",""One十八"")<oc_end>";"<oc_1>(""Weihnachtsessen Bei meinem Elernzeit"", ""2025-12-26"", ""18:00"", -)<oc_end>";"<oc_1>(""Weihnachtessen bei meinem an"", ""2024-12-24"", '18:05', 96)<oc_end>";"<oc_1>(""Websites"", ""2024-12-24"", ""18:00"", 180)<oc_end>"
create_calendar_entry;Erstelle einen Termin für einen Arzttermin am 13.6.2023 um 12 Uhr für 60 Minuten;"<oc_1>(""Arzttermin"", ""2023-06-13"", ""12:00"", 60)<oc_end>";"<oc_1>(""Arzert"", ""2024-05-13"", ""12:00"", 60)<oc_end>";"<oc_1>(""Arzitterd8c57"", ""2024-09-13"",""One十二"")<oc_end>";"<oc_1>(""Arzeit in den Kalendar"", ""2025-06-14"", ""12:00"", 80)<oc_end>";"<oc_1>(""Arzert"", ""2023-05-14"", '18c97e12d8"")<oc_end>";"<oc_1>(""Arabd Termine"", ""YYYY-MM-DD9e"")<oc_end>"
create_calendar_entry;Neuen Kalendertermin für Projektpräsentation am 24.06.2024 um 18 Uhr für 90 Minuten anlegen;"<oc_1>(""Projektpräsentation"", ""2024-06-24"", ""18:00"", 90)<oc_end>";"<oc_1>(""Projektpräsentations"", ""2025-06-24"", ""18:00"", 90)<oc_end>";"<oc_1>(""Projektpräsentation"", ""2023-05 -24', '18':00"", 90)<oc_end>";"<oc_1>(""Projektpräsentation"", ""2025-06-34"", ""18:00"", 70)<oc_end>";"<oc_1>(""Projektvortrag"", ""2024-05-34"", '18:00', 70)<oc_end>";"<oc_3>(""Projektpräsentation"", ""YYYY-MM-DD"")<oc_end>"
create_calendar_entry;Lege einen Termin für ein Teamabendessen im Restaurant am 4. Juli 2024 ab 20 Uhr für 1,5 Stunden an;"<oc_1>(""Teamabendessen im Restaurant"", ""2024-07-04"", ""20:00"", 90)<oc_end>";"<oc_1>(""Restaurantbesuch"", ""2026-07-3"")<oc_end>";"<oc_1>(""Restaurantbesuch"", ""2026-07-4"", ""@20)<oc_end>";"<oc_1>(""Restaurantbesuch"", ""2023-07-49"")<oc_end>";"<oc_1>(""Restaurantbesuch"", ""title (str): Der Titel des Kalender-API.

Rückgabe:
bool: True wenn der Aufruf der Kalenders-API erfolgreich war, andernfalls False.

""""""Antwort: <oc_3>(""Restaurantbesuch"", '2024-07-";"<oc_3>(""Teamabe"", ""YYYY-MM-DD"")<oc_end>"
create_calendar_entry;Plane einen Termin für einen Kundengespräch am 16. Februar 2025 um 15:00 für 2 Stunden ein;"<oc_1>(""Kundengespräch"", ""2025-02-16"", ""15:00"", 120)<oc_end>";"<oc_1>(""Konzert"", ""2024-02-16"", ""17:00"", 12)<oc_end>";"<oc_1>(""Kundereinträge"", ""2023-04-16"", ""$15:00$"",)<oc_end>";"<oc_1>(""title"", date)<oc_end>";"<oc_1>(""Konzert"", ""title (str): Der Titel des Kalendereintrags.

Rückgabe:
bool: True wenn der Aufruf der Kalender-API erfolgreich war, andernfalls False.

""""""Antwort: <oc_3>(""kündentliches Teammeeting"", '202";"<oc_1>(""Kundeneintrag fa8fde9c4d"")<oc_end>"
create_calendar_entry;Lege einen Termin für ein einstündiges Info-Event am 27. Januar 2026 um 10:00 Uhr an;"<oc_1>(""Info-Event"", ""2024-01-27"", ""10:00"", 60)<oc_end>";"<oc_1>(""Infoveranstaltung Studium"", ""2025-01-28"", ""10:00"", 6)<oc_end>";"<oc_1>(""Info-Meeting"", ""2025 -09-28"", ""$10:40$"", 60)<oc_end>";"<oc_1>(""Infoveranstaltung Studium"", ""2025-09-37)<oc_end>";"<oc_1>(""Infoveranstaltung Studium"", ""2026-03-25"", ""10:00"", 60)<oc_end>";"<oc_3>(""Infoveranstaltung Studium"", ""YYYY-MM-DD9e"")<oc_end>"
create_calendar_entry;Erstelle einen neuen Kalendartermin für ein zweistündiges Rockkonzert auf der Kieler Woche am 26. Juni 2024 um 21:00 Uhr;"<oc_1>(""Rockkonzert auf der Kieler Woche"", ""2024-06-26"", ""21:00"", 120)<oc_end>";"<oc_1>(""Rockconzekt"", ""2025-06-26"", ""21:00"", 12)<oc_end>";"<oc_1>(""RockKochung"", ""2023-05 -26"", ""-21:00"", 120)<oc_end>";"<oc_1>(""Rockkonzert"", ""2025-06-36"", ""21:00"", 120)<oc_end>";"<oc_1>(""RockKonzerts"", ""2024-05-36"", ""Vani29:00"", 120)<oc_end>";"<oc_1>(""RockKonzert"", ""YYYY-MM-DD9"")<oc_end>"
create_calendar_entry;Neuen Kalendareintrag für eine eineinhalbstündige Bahnfahrt nach Hamburg am 06.11.2023 um 6 Uhr erstellen;"<oc_1>(""Bahnfahrt nach Hamburg"", ""2023-11-06"", ""06:00"", 90)<oc_end>";"<oc_1>(""Bahnfahrway"", ""2024-11-06', '06:00"", 9)<oc_end>";"<oc_1>(""Bahnfahrerpunkt"", ""2024-11-06"", ""06:05"", 9)<oc_end>";"<oc_1>(""BahnfahRT NachHH"", ""2024-11-06"", ""06:05"", 90)<oc_end>";"<oc_1>(""Bahnbesuch"", ""2023-11-05"", '06:00', 90)<oc_end>";"<oc_1>(""Bahnfahtereinträge"", ""YYYY-MM-DD9e"")<oc_end>"
create_calendar_entry;Erstelle Kalendareintrag für dreistündigen Workshop am 03.03.2026 um 11 Uhr ;"<oc_1>(""Workshop"", ""2026-03-03"", ""11:00"", 180)<oc_end>";"<oc_1>(""Workad"", ""2025-03-03"", ""11:00"", 8)<oc_end>";"<oc_1>("" workshop"", ""2025-04 -03"",""One18)<oc_end>";"<oc_1>(""workd7dfd9"")<oc_end>";"<oc_1>(""dorlesung Mittelhochdeutsch"", ""2026-05-04"", '17:00', 180)<oc_end>";"<oc_1>(""Work"", ""YYYY-MM-DD9"")<oc_end>"
create_calendar_entry;Lege einen sechsstündigen Termin für eine Silvesterparty am 31.12.2025 ab 20 Uhr an;"<oc_1>(""Silvesterparty"", ""2025-12-31"", ""20:00"", 360)<oc_end>";"<oc_1>(""Seminarvortrag"", ""2024-12-31ab"", ""20:00"", 6)<oc_end>";"<oc_1>(""lesung Mittelhochdeutsch"", ""2024-12-31"", ""-20""<oc_end>";"<oc_1>(""SilsterParty"", ""2024-12-39)<oc_end>";"<oc_1>(""silereintrag"", ""2025-18-34"", 'ab2eb9a76c"")<oc_end>";"<oc_3>(""Seminarvortrag"", ""YYYY-MM-DD9e"")<oc_end>"
